"RK",TIERS,"PLAYER NAME",TEAM,"POS","BYE WEEK","UPSIDE ","BUST ","SOS SEASON","ECR VS. ADP"
"1",1,"Ja'Marr Chase",CIN,"WR1","6","5 out of 5","1 out of 5","4 out of 5 stars","+2"
"2",1,"Jahmyr Gibbs",DET,"RB1","6","5 out of 5","1 out of 5","5 out of 5 stars","-1"
"3",1,"Puka Nacua",LAR,"WR2","11","5 out of 5","2 out of 5","1 out of 5 stars","+1"
"4",1,"Bijan Robinson",ATL,"RB2","11","5 out of 5","1 out of 5","2 out of 5 stars","-2"
"5",1,"Jaxon Smith-Njigba",SEA,"WR3","11","5 out of 5","2 out of 5","3 out of 5 stars","+2"
"6",1,"Amon-Ra St. Brown",DET,"WR4","6","5 out of 5","1 out of 5","4 out of 5 stars","+2"
"7",2,"Christian McCaffrey",SF,"RB3","8","4 out of 5","4 out of 5","2 out of 5 stars","-2"
"8",2,"Justin Jefferson",MIN,"WR5","6","5 out of 5","2 out of 5","5 out of 5 stars","+3"
"9",2,"CeeDee Lamb",DAL,"WR6","14","4 out of 5","2 out of 5","2 out of 5 stars","+1"
"10",2,"Jonathan Taylor",IND,"RB4","13","4 out of 5","3 out of 5","4 out of 5 stars","-4"
"11",2,"Drake London",ATL,"WR7","11","4 out of 5","3 out of 5","3 out of 5 stars","+9"
"12",2,"A.J. Brown",NE,"WR8","11","5 out of 5","2 out of 5","2 out of 5 stars","+5"
"13",3,"James Cook III",BUF,"RB5","7","5 out of 5","1 out of 5","2 out of 5 stars","-4"
"14",3,"Nico Collins",HOU,"WR9","8","4 out of 5","2 out of 5","3 out of 5 stars","+10"
"15",3,"Chase Brown",CIN,"RB6","6","5 out of 5","2 out of 5","2 out of 5 stars","-2"
"16",3,"Chris Olave",NO,"WR10","8","4 out of 5","4 out of 5","3 out of 5 stars","+10"
"17",3,"Trey McBride",ARI,"TE1","14","4 out of 5","2 out of 5","2 out of 5 stars","+8"
"18",3,"George Pickens",DAL,"WR11","14","4 out of 5","4 out of 5","2 out of 5 stars","+5"
"19",3,"Brock Bowers",LV,"TE2","13","5 out of 5","1 out of 5","3 out of 5 stars","+3"
"20",3,"De'Von Achane",MIA,"RB7","6","4 out of 5","4 out of 5","3 out of 5 stars","-8"
"21",3,"DeVonta Smith",PHI,"WR12","10","4 out of 5","2 out of 5","4 out of 5 stars","+11"
"22",3,"Saquon Barkley",PHI,"RB8","10","4 out of 5","4 out of 5","4 out of 5 stars","-8"
"23",3,"Malik Nabers",NYG,"WR13","8","4 out of 5","4 out of 5","4 out of 5 stars","+4"
"24",3,"Kenneth Walker III",KC,"RB9","5","5 out of 5","4 out of 5","3 out of 5 stars","-5"
"25",4,"Omarion Hampton",LAC,"RB10","7","5 out of 5","2 out of 5","3 out of 5 stars","-10"
"26",4,"Josh Allen",BUF,"QB1","7","5 out of 5","2 out of 5","3 out of 5 stars","-5"
"",4
"27",4,"Rashee Rice",KC,"WR14","5","4 out of 5","4 out of 5","2 out of 5 stars","+3"
"28",4,"Ashton Jeanty",LV,"RB11","13","4 out of 5","4 out of 5","2 out of 5 stars","-10"
"29",4,"Zay Flowers",BAL,"WR15","13","4 out of 5","2 out of 5","4 out of 5 stars","+6"
"30",4,"Garrett Wilson",NYJ,"WR16","13","4 out of 5","4 out of 5","4 out of 5 stars","+10"
"31",4,"Lamar Jackson",BAL,"QB2","13","4 out of 5","4 out of 5","3 out of 5 stars","+7"
"32",4,"Ladd McConkey",LAC,"WR17","7","4 out of 5","3 out of 5","2 out of 5 stars","+11"
"33",4,"Jaylen Waddle",DEN,"WR18","10","4 out of 5","3 out of 5","2 out of 5 stars","+13"
"34",4,"Derrick Henry",BAL,"RB12","13","4 out of 5","2 out of 5","3 out of 5 stars","-18"
"35",4,"Drake Maye",NE,"QB3","11","5 out of 5","1 out of 5","2 out of 5 stars","+18"
"36",4,"Tetairoa McMillan",CAR,"WR19","5","4 out of 5","3 out of 5","2 out of 5 stars","+1"
"37",4,"Tee Higgins",CIN,"WR20","6","5 out of 5","2 out of 5","4 out of 5 stars","+4"
"38",4,"Colston Loveland",CHI,"TE3","10","5 out of 5","2 out of 5","2 out of 5 stars","+1"
"39",5,"Breece Hall",NYJ,"RB13","13","4 out of 5","4 out of 5","3 out of 5 stars","-6"
"40",5,"Jeremiyah Love",ARI,"RB14","14","5 out of 5","4 out of 5","2 out of 5 stars","-9"
"41",5,"Emeka Egbuka",TB,"WR21","10","4 out of 5","3 out of 5","4 out of 5 stars","+1"
"42",5,"Kyren Williams",LAR,"RB15","11","4 out of 5","2 out of 5","5 out of 5 stars","-13"
"43",5,"Javonte Williams",DAL,"RB16","14","4 out of 5","4 out of 5","4 out of 5 stars","-15"
"44",5,"Joe Burrow",CIN,"QB4","6","4 out of 5","4 out of 5","3 out of 5 stars","+10"
"45",5,"Travis Etienne Jr.",NO,"RB17","8","4 out of 5","4 out of 5","3 out of 5 stars","-11"
"46",5,"Luther Burden III",CHI,"WR22","10","4 out of 5","4 out of 5","3 out of 5 stars","+6"
"47",5,"Terry McLaurin",WAS,"WR23","7","4 out of 5","2 out of 5","2 out of 5 stars","+9"
"48",5,"DJ Moore",BUF,"WR24","7","4 out of 5","2 out of 5","4 out of 5 stars","0"
"49",5,"Davante Adams",LAR,"WR25","11","4 out of 5","4 out of 5","1 out of 5 stars","+1"
"50",5,"D'Andre Swift",CHI,"RB18","10","3 out of 5","2 out of 5","2 out of 5 stars","-6"
"51",5,"Tyler Warren",IND,"TE4","13","5 out of 5","2 out of 5","3 out of 5 stars","0"
"52",5,"Jameson Williams",DET,"WR26","6","4 out of 5","3 out of 5","4 out of 5 stars","+5"
"53",5,"Bucky Irving",TB,"RB19","10","3 out of 5","4 out of 5","2 out of 5 stars","-6"
"54",6,"Cam Skattebo",NYG,"RB20","8","4 out of 5","4 out of 5","4 out of 5 stars","-18"
"55",6,"Jalen Hurts",PHI,"QB5","10","4 out of 5","3 out of 5","5 out of 5 stars","+6"
"56",6,"Christian Watson",GB,"WR27","11","4 out of 5","4 out of 5","5 out of 5 stars","+9"
"57",6,"Jayden Daniels",WAS,"QB6","7","4 out of 5","4 out of 5","2 out of 5 stars","+5"
"58",6,"Parker Washington",JAC,"WR28","7","4 out of 5","2 out of 5","4 out of 5 stars","+5"
"59",6,"David Montgomery",HOU,"RB21","8","4 out of 5","2 out of 5","4 out of 5 stars","-10"
"60",6,"Rome Odunze",CHI,"WR29","10","4 out of 5","3 out of 5","3 out of 5 stars","-1"
"61",6,"Quinshon Judkins",CLE,"RB22","11","4 out of 5","4 out of 5","3 out of 5 stars","-16"
"62",6,"Mike Evans",SF,"WR30","8","4 out of 5","4 out of 5","2 out of 5 stars","+5"
"63",6,"Caleb Williams",CHI,"QB7","10","5 out of 5","2 out of 5","3 out of 5 stars","+14"
"64",6,"Bhayshul Tuten",JAC,"RB23","7","4 out of 5","3 out of 5","4 out of 5 stars","-9"
"65",6,"Jadarian Price",SEA,"RB24","11","4 out of 5","4 out of 5","4 out of 5 stars","-7"
"66",6,"Carnell Tate",TEN,"WR31","9","4 out of 5","2 out of 5","3 out of 5 stars","+8"
"67",6,"Marvin Harrison Jr.",ARI,"WR32","14","3 out of 5","4 out of 5","2 out of 5 stars","+5"
"68",6,"TreVeyon Henderson",NE,"RB25","11","4 out of 5","4 out of 5","2 out of 5 stars","-8"
"69",6,"Justin Herbert",LAC,"QB8","7","5 out of 5","2 out of 5","2 out of 5 stars","+15"
"70",6,"Rhamondre Stevenson",NE,"RB26","11","4 out of 5","3 out of 5","2 out of 5 stars","-6"
"71",6,"Jaylen Warren",PIT,"RB27","9","4 out of 5","4 out of 5","2 out of 5 stars","-3"
"72",6,"Chris Godwin Jr.",TB,"WR33","10","4 out of 5","4 out of 5","4 out of 5 stars","+15"
"73",6,"Trevor Lawrence",JAC,"QB9","7","5 out of 5","2 out of 5","4 out of 5 stars","+16"
"74",6,"Dak Prescott",DAL,"QB10","14","4 out of 5","2 out of 5","2 out of 5 stars","-1"
"75",6,"Harold Fannin Jr.",CLE,"TE5","11","4 out of 5","3 out of 5","3 out of 5 stars","-9"
"76",6,"Kyle Pitts Sr.",ATL,"TE6","11","4 out of 5","4 out of 5","3 out of 5 stars","-6"
"77",7,"DK Metcalf",PIT,"WR34","9","3 out of 5","3 out of 5","3 out of 5 stars","+3"
"78",7,"Tucker Kraft",GB,"TE7","11","5 out of 5","3 out of 5","2 out of 5 stars","-9"
"79",7,"Michael Pittman Jr.",PIT,"WR35","9","3 out of 5","3 out of 5","3 out of 5 stars","+16"
"80",7,"Brian Thomas Jr.",JAC,"WR36","7","2 out of 5","4 out of 5","4 out of 5 stars","+5"
"81",7,"Tony Pollard",TEN,"RB28","9","4 out of 5","3 out of 5","3 out of 5 stars","-6"
"82",7,"Rico Dowdle",PIT,"RB29","9","4 out of 5","4 out of 5","2 out of 5 stars","-3"
"83",7,"Courtland Sutton",DEN,"WR37","10","2 out of 5","4 out of 5","2 out of 5 stars","-7"
"84",7,"Wan'Dale Robinson",TEN,"WR38","9","4 out of 5","3 out of 5","3 out of 5 stars","+18"
"85",7,"Sam LaPorta",DET,"TE8","6","4 out of 5","3 out of 5","3 out of 5 stars","-14"
"86",7,"Jonathon Brooks",CAR,"RB30","5","4 out of 5","4 out of 5","1 out of 5 stars","-5"
"87",7,"Josh Downs",IND,"WR39","13","3 out of 5","4 out of 5","4 out of 5 stars","+30"
"88",7,"Michael Wilson",ARI,"WR40","14","-","-","2 out of 5 stars","-5"
"89",7,"Quentin Johnston",LAC,"WR41","7","4 out of 5","4 out of 5","2 out of 5 stars","+15"
"90",7,"Stefon Diggs",WAS,"WR42","7","4 out of 5","2 out of 5","2 out of 5 stars","+9"
"",7
"91",7,"RJ Harvey",DEN,"RB31","10","2 out of 5","4 out of 5","2 out of 5 stars","-5"
"92",7,"George Kittle",SF,"TE9","8","4 out of 5","4 out of 5","3 out of 5 stars","-10"
"93",7,"Kenny Gainwell",TB,"RB32","10","4 out of 5","3 out of 5","2 out of 5 stars","0"
"94",7,"Brock Purdy",SF,"QB11","8","4 out of 5","2 out of 5","1 out of 5 stars","+19"
"95",7,"Bo Nix",DEN,"QB12","10","4 out of 5","2 out of 5","3 out of 5 stars","+21"
"96",7,"Jaxson Dart",NYG,"QB13","8","5 out of 5","4 out of 5","4 out of 5 stars","+1"
"97",7,"Chuba Hubbard",CAR,"RB33","5","2 out of 5","4 out of 5","1 out of 5 stars","-7"
"98",7,"Travis Kelce",KC,"TE10","5","3 out of 5","3 out of 5","4 out of 5 stars","-4"
"99",7,"Alec Pierce",IND,"WR43","13","4 out of 5","4 out of 5","4 out of 5 stars","-7"
"100",7,"Jayden Reed",GB,"WR44","11","4 out of 5","4 out of 5","5 out of 5 stars","+19"
"101",7,"Patrick Mahomes II",KC,"QB14","5","3 out of 5","4 out of 5","2 out of 5 stars","+10"
"102",7,"J.K. Dobbins",DEN,"RB34","10","4 out of 5","4 out of 5","2 out of 5 stars","-14"
"103",8,"Matthew Stafford",LAR,"QB15","11","4 out of 5","2 out of 5","3 out of 5 stars","-5"
"104",8,"Jared Goff",DET,"QB16","6","4 out of 5","2 out of 5","5 out of 5 stars","+22"
"105",8,"MarShawn Lloyd",GB,"RB35","11","4 out of 5","4 out of 5","4 out of 5 stars","-14"
"106",8,"Blake Corum",LAR,"RB36","11","4 out of 5","4 out of 5","5 out of 5 stars","-6"
"107",8,"KC Concepcion",CLE,"WR45","11","4 out of 5","3 out of 5","3 out of 5 stars","+18"
"108",8,"Jakobi Meyers",JAC,"WR46","7","2 out of 5","3 out of 5","4 out of 5 stars","+16"
"109",8,"Jordan Addison",MIN,"WR47","6","4 out of 5","3 out of 5","5 out of 5 stars","-1"
"110",8,"Rachaad White",WAS,"RB37","7","4 out of 5","2 out of 5","4 out of 5 stars","+8"
"111",8,"Makai Lemon",PHI,"WR48","10","4 out of 5","2 out of 5","4 out of 5 stars","+4"
"112",8,"Jordan Mason",MIN,"RB38","6","4 out of 5","3 out of 5","4 out of 5 stars","-11"
"113",8,"Kyler Murray",MIN,"QB17","6","4 out of 5","3 out of 5","5 out of 5 stars","+25"
"114",8,"Dalton Kincaid",BUF,"TE11","7","3 out of 5","4 out of 5","3 out of 5 stars","+7"
"115",8,"Jacory Croskey-Merritt",WAS,"RB39","7","4 out of 5","4 out of 5","4 out of 5 stars","-6"
"116",8,"Jordan Love",GB,"QB18","11","4 out of 5","3 out of 5","4 out of 5 stars","+31"
"117",8,"Aaron Jones Sr.",MIN,"RB40","6","1 out of 5","4 out of 5","4 out of 5 stars","+3"
"118",8,"Baker Mayfield",TB,"QB19","10","3 out of 5","4 out of 5","2 out of 5 stars","+24"
"119",8,"De'Zhaun Stribling",SF,"WR49","8","4 out of 5","4 out of 5","2 out of 5 stars","-9"
"120",8,"Dallas Goedert",PHI,"TE12","10","4 out of 5","3 out of 5","4 out of 5 stars","-8"
"121",8,"Isaiah Likely",NYG,"TE13","8","4 out of 5","3 out of 5","3 out of 5 stars","-16"
"122",8,"Kyle Monangai",CHI,"RB41","10","4 out of 5","3 out of 5","2 out of 5 stars","-16"
"123",8,"Jake Ferguson",DAL,"TE14","14","2 out of 5","4 out of 5","2 out of 5 stars","-1"
"124",8,"Tyler Shough",NO,"QB20","8","4 out of 5","2 out of 5","3 out of 5 stars","+30"
"125",8,"Jalen Coker",CAR,"WR50","5","4 out of 5","3 out of 5","2 out of 5 stars","+16"
"126",8,"Matthew Golden",GB,"WR51","11","3 out of 5","4 out of 5","5 out of 5 stars","+1"
"127",8,"Romeo Doubs",NE,"WR52","11","4 out of 5","3 out of 5","2 out of 5 stars","+2"
"128",8,"Khalil Shakir",BUF,"WR53","7","2 out of 5","4 out of 5","4 out of 5 stars","+20"
"129",8,"Juwan Johnson",NO,"TE15","8","4 out of 5","2 out of 5","2 out of 5 stars","+20"
